model_name,MSE,MAE,RMSE,R2,training_time_seconds,inference_time_seconds
ft_transformer_lite,777056501.9796569,15667.553015303938,27875.733209723057,0.898693161022076,824.1906909,0.13933770000005552
ann_baseline,734086195.1893424,17118.48517765411,27094.025082835928,0.9042953095656479,2.502228400000001,0.0071212000000286935
adaptive_ann,1144689963.8449252,18298.45252300942,33833.26711751209,0.8507638485085098,3.629182900000046,0.008064499999932195
